Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
5,Water Energy,Water Energy,Base Set,102/102,BS,Normal,Near Mint,English,Common,42350,460401,$1.65,$0.33
1,Wartortle,Wartortle,Base Set,042/102,BS,Normal,Near Mint,English,Uncommon,42385,460387,$3.39,$3.39
1,Voltorb,Voltorb,Base Set,067/102,BS,Normal,Near Mint,English,Common,42412,462926,$1.33,$1.33
1,Tangela,Tangela,Base Set,066/102,BS,Normal,Near Mint,English,Common,42411,461377,$0.58,$0.58
1,Switch,Switch,Base Set,095/102,BS,Normal,Near Mint,English,Common,42439,460832,$0.37,$0.37
1,Super Potion,Super Potion,Base Set,090/102,BS,Normal,Near Mint,English,Uncommon,42434,461396,$0.21,$0.21
1,Starmie,Starmie,Base Set,064/102,BS,Normal,Moderately Played,English,Common,42409,454427,$0.23,$0.23
1,Starmie,Starmie,Base Set,064/102,BS,Normal,Near Mint,English,Common,42409,462740,$0.48,$0.48
1,Squirtle,Squirtle,Base Set,063/102,BS,Normal,Near Mint,English,Common,42408,461176,$3.11,$3.11
1,Seel,Seel,Base Set,041/102,BS,Normal,Near Mint,English,Uncommon,42384,463737,$0.85,$0.85
1,Rattata,Rattata,Base Set,061/102,BS,Normal,Near Mint,English,Common,42406,462134,$0.41,$0.41
1,Raticate,Raticate,Base Set,040/102,BS,Normal,Near Mint,English,Uncommon,42383,462182,$1.68,$1.68
5,Psychic Energy,Psychic Energy,Base Set,101/102,BS,Normal,Near Mint,English,Common,42349,463006,$1.60,$0.32
7,Potion,Potion,Base Set,094/102,BS,Normal,Near Mint,English,Common,42438,462386,$1.33,$0.19
1,Ponyta,Ponyta,Base Set,060/102,BS,Normal,Near Mint,English,Common,42405,460595,$0.30,$0.30
1,Poliwhirl,Poliwhirl,Base Set,038/102,BS,Normal,Near Mint,English,Uncommon,42380,461574,$1.01,$1.01
1,Poliwag,Poliwag,Base Set,059/102,BS,Normal,Near Mint,English,Common,42403,462596,$0.43,$0.43
1,PlusPower,PlusPower,Base Set,084/102,BS,Normal,Near Mint,English,Uncommon,42430,463701,$0.65,$0.65
3,Pidgey,Pidgey,Base Set,057/102,BS,Normal,Near Mint,English,Common,42401,463685,$2.31,$0.77
1,Onix,Onix,Base Set,056/102,BS,Normal,Near Mint,English,Common,42400,462011,$0.52,$0.52
1,Metapod,Metapod,Base Set,054/102,BS,Normal,Near Mint,English,Common,42398,464041,$0.54,$0.54
1,Magikarp,Magikarp,Base Set,035/102,BS,Normal,Moderately Played,English,Uncommon,42377,452791,$0.53,$0.53
1,Machop,Machop,Base Set,052/102,BS,Normal,Near Mint,English,Common,42396,461023,$0.32,$0.32
1,Machop,Machop,Base Set,052/102,BS,Normal,Near Mint,English,Common,42396,461023,$0.32,$0.32
1,Machoke,Machoke,Base Set,034/102,BS,Normal,Near Mint,English,Uncommon,42376,460715,$0.71,$0.71
1,Koffing,Koffing,Base Set,051/102,BS,Normal,Near Mint,English,Common,42395,462580,$0.40,$0.40
1,Kadabra,Kadabra,Base Set,032/102,BS,Normal,Near Mint,English,Uncommon,42374,461692,$1.38,$1.38
1,Haunter,Haunter,Base Set,029/102,BS,Normal,Near Mint,English,Uncommon,42370,463877,$1.11,$1.11
3,Gust of Wind,Gust of Wind,Base Set,093/102,BS,Normal,Near Mint,English,Common,42437,461849,$0.75,$0.25
1,Growlithe,Growlithe,Base Set,028/102,BS,Normal,Near Mint,English,Uncommon,42369,462300,$0.78,$0.78
4,Grass Energy,Grass Energy,Base Set,099/102,BS,Normal,Near Mint,English,Common,42443,462045,$1.16,$0.29
8,Fire Energy,Fire Energy,Base Set,098/102,BS,Normal,Near Mint,English,Common,42442,460467,$2.00,$0.25
3,Fighting Energy,Fighting Energy,Base Set,097/102,BS,Normal,Near Mint,English,Common,42441,464108,$0.60,$0.20
1,Energy Retrieval,Energy Retrieval,Base Set,081/102,BS,Normal,Near Mint,English,Uncommon,42427,463117,$0.63,$0.63
1,Dratini,Dratini,Base Set,026/102,BS,Normal,Near Mint,English,Uncommon,42367,463909,$1.44,$1.44
1,Doduo,Doduo,Base Set,048/102,BS,Normal,Near Mint,English,Common,42391,461303,$0.61,$0.61
1,Dewgong,Dewgong,Base Set,025/102,BS,Normal,Near Mint,English,Uncommon,42366,462370,$1.92,$1.92
1,Dewgong,Dewgong,Base Set,025/102,BS,Normal,Near Mint,English,Uncommon,42366,462370,$1.92,$1.92
1,Charmeleon,Charmeleon,Base Set,024/102,BS,Normal,Heavily Played,English,Uncommon,42365,444207,$0.31,$0.31
1,Charmander,Charmander,Base Set,046/102,BS,Normal,Near Mint,English,Common,42389,462385,$1.23,$1.23
1,Bulbasaur,Bulbasaur,Base Set,044/102,BS,Normal,Near Mint,English,Common,42387,463543,$1.44,$1.44
5,Bill,Bill,Base Set,091/102,BS,Normal,Near Mint,English,Common,42435,462941,$1.40,$0.28
2,Arcanine,Arcanine,Base Set,023/102,BS,Normal,Near Mint,English,Uncommon,42364,463287,$5.70,$2.85
1,Abra,Abra,Base Set,043/102,BS,Normal,Near Mint,English,Common,42386,463007,$0.62,$0.62
2,Weedle,Weedle,Base Set 2,100/130,BS2,Normal,Near Mint,English,Common,42551,460911,$0.58,$0.29
1,Water Energy,Water Energy,Base Set 2,130/130,BS2,Normal,Near Mint,English,Common,42568,460763,$0.38,$0.38
1,Vulpix,Vulpix,Base Set 2,099/130,BS2,Normal,Near Mint,English,Common,42550,463544,$0.76,$0.76
1,Tauros,Tauros,Base Set 2,062/130,BS2,Normal,Near Mint,English,Uncommon,42525,460176,$2.70,$2.70
1,Switch,Switch,Base Set 2,123/130,BS2,Normal,Near Mint,English,Common,42564,463791,$0.31,$0.31
1,Super Potion,Super Potion,Base Set 2,117/130,BS2,Normal,Near Mint,English,Uncommon,42561,462253,$0.28,$0.28
1,Staryu,Staryu,Base Set 2,095/130,BS2,Normal,Near Mint,English,Common,42546,461058,$0.32,$0.32
1,Seel,Seel,Base Set 2,061/130,BS2,Normal,Near Mint,English,Uncommon,42524,463686,$0.75,$0.75
1,Seaking,Seaking,Base Set 2,060/130,BS2,Normal,Near Mint,English,Uncommon,42523,461079,$0.55,$0.55
1,Sandshrew,Sandshrew,Base Set 2,091/130,BS2,Normal,Near Mint,English,Common,42542,460452,$0.36,$0.36
1,Raticate,Raticate,Base Set 2,058/130,BS2,Normal,Near Mint,English,Uncommon,42521,462093,$0.89,$0.89
1,Psychic Energy,Psychic Energy,Base Set 2,129/130,BS2,Normal,Near Mint,English,Common,42567,463360,$0.38,$0.38
1,Potion,Potion,Base Set 2,122/130,BS2,Normal,Near Mint,English,Common,42563,461193,$0.17,$0.17
1,Poke Ball,Poke Ball,Base Set 2,121/130,BS2,Normal,Near Mint,English,Common,106361,2994409,$0.33,$0.33
1,Ninetales,Ninetales,Base Set 2,013/130,BS2,Holofoil,Near Mint,English,Holo Rare,42457,2994338,$23.80,$23.80
1,Nidoran M,Nidoran M,Base Set 2,083/130,BS2,Normal,Near Mint,English,Common,42534,461320,$0.31,$0.31
1,Meowth,Meowth,Base Set 2,080/130,BS2,Normal,Near Mint,English,Common,42532,462436,$0.56,$0.56
1,Jigglypuff,Jigglypuff,Base Set 2,077/130,BS2,Normal,Near Mint,English,Common,42529,462956,$0.63,$0.63
1,Ivysaur,Ivysaur,Base Set 2,044/130,BS2,Normal,Near Mint,English,Uncommon,42507,463449,$3.05,$3.05
1,Gust of Wind,Gust of Wind,Base Set 2,120/130,BS2,Normal,Near Mint,English,Common,42562,460699,$0.22,$0.22
1,Goldeen,Goldeen,Base Set 2,076/130,BS2,Normal,Near Mint,English,Common,42528,460667,$0.29,$0.29
1,Fire Energy,Fire Energy,Base Set 2,126/130,BS2,Normal,Near Mint,English,Common,42456,460388,$0.75,$0.75
1,Energy Retrieval,Energy Retrieval,Base Set 2,110/130,BS2,Normal,Near Mint,English,Uncommon,42449,462627,$0.36,$0.36
1,Energy Removal,Energy Removal,Base Set 2,119/130,BS2,Normal,Near Mint,English,Common,42452,462110,$0.31,$0.31
1,Doduo,Doduo,Base Set 2,072/130,BS2,Normal,Near Mint,English,Common,42492,462991,$0.33,$0.33
1,Bill,Bill,Base Set 2,118/130,BS2,Normal,Near Mint,English,Common,42451,461602,$0.26,$0.26
1,Arcanine,Arcanine,Base Set 2,033/130,BS2,Normal,Near Mint,English,Uncommon,42472,462812,$1.78,$1.78
1,Abra,Abra,Base Set 2,065/130,BS2,Normal,Near Mint,English,Common,42484,463982,$0.49,$0.49
1,Girafarig,Girafarig,Crown Zenith,061/159,CRZ,Normal,Near Mint,English,Uncommon,478177,6927440,$0.07,$0.07
1,Sceptile ex (Delta Species),Sceptile ex,Crystal Guardians,96/100,CG,Holofoil,Near Mint,English,Ultra Rare,88955,1264792,$107.89,$107.89
1,Poochyena,Poochyena,Delta Species,79/113,DS,Reverse Holofoil,Near Mint,English,Common,88297,2838112,$5.44,$5.44
2,Makuhita,Makuhita,Delta Species,75/113,DS,Normal,Near Mint,English,Common,87130,1193099,$0.72,$0.36
1,Koffing,Koffing,Delta Species,72/113,DS,Normal,Near Mint,English,Common,86495,1192464,$0.44,$0.44
1,Dratini - 066/113 (Delta Species),Dratini,Delta Species,66/113,DS,Normal,Near Mint,English,Common,84941,1190910,$1.97,$1.97
2,Zubat,Zubat,Fossil,57/62,FO,Unlimited,Near Mint,English,Common,44459,463617,$0.62,$0.31
1,Tentacool,Tentacool,Fossil,56/62,FO,Unlimited,Near Mint,English,Common,44458,462041,$0.33,$0.33
1,Shellder,Shellder,Fossil,54/62,FO,Unlimited,Near Mint,English,Common,44456,462905,$0.33,$0.33
1,Seadra,Seadra,Fossil,42/62,FO,Unlimited,Near Mint,English,Uncommon,44444,462116,$0.49,$0.49
1,Sandslash,Sandslash,Fossil,41/62,FO,Unlimited,Near Mint,English,Uncommon,44443,460580,$0.74,$0.74
3,Recycle,Recycle,Fossil,61/62,FO,Unlimited,Near Mint,English,Common,44463,460463,$0.81,$0.27
2,Omanyte,Omanyte,Fossil,52/62,FO,Unlimited,Near Mint,English,Common,44454,460789,$0.90,$0.45
2,Mysterious Fossil,Mysterious Fossil,Fossil,62/62,FO,Unlimited,Near Mint,English,Common,44464,463084,$0.56,$0.28
1,Krabby,Krabby,Fossil,51/62,FO,Unlimited,Near Mint,English,Common,44453,462383,$0.33,$0.33
1,Kabuto,Kabuto,Fossil,50/62,FO,Unlimited,Near Mint,English,Common,44452,461901,$0.44,$0.44
2,Horsea,Horsea,Fossil,49/62,FO,Unlimited,Near Mint,English,Common,44451,463469,$0.72,$0.36
1,Graveler,Graveler,Fossil,37/62,FO,Unlimited,Near Mint,English,Uncommon,44439,463856,$0.60,$0.60
3,Geodude,Geodude,Fossil,47/62,FO,Unlimited,Near Mint,English,Common,44449,461426,$0.84,$0.28
